localization,price,area,rooms,status,floor,heating_type,size,balkon,ogródek,taras
 Stare Miasto,647500.0,34.82,2 ,do zamieszkania,1,inne,medium,1,0,0
 Bieżanów-Prokocim,680000.0,56.0,3 ,do zamieszkania,2,miejskie,medium,1,0,0
 Wieliczka,811999.0,88.0,4 ,do wykończenia,0,inne,large,0,1,1
 Dębniki,880000.0,61.0,3 ,do zamieszkania,2,gazowe,large,1,0,0
 Podgórze,836110.0,76.01,3 ,do wykończenia,0,miejskie,large,0,1,1
 Krowodrza Górka,520000.0,34.4,2 ,do remontu,0,miejskie,medium,1,0,0
 Prądnik Biały,879000.0,52.83,3 ,do zamieszkania,3,miejskie,medium,1,0,0
 Prądnik Biały,609538.0,38.12,2 ,do wykończenia,1,miejskie,medium,1,0,0
 Zwierzyniec,1190000.0,64.9,3 ,do zamieszkania,1,miejskie,large,1,0,0
 Czyżyny,617000.0,34.28,2 ,do zamieszkania,0,miejskie,medium,1,1,0
 Dębniki,1200000.0,65.0,2 ,do zamieszkania,10,miejskie,large,1,0,0
 Mistrzejowice,680000.0,51.37,3 ,do zamieszkania,0,miejskie,medium,1,0,0
 Dębniki,549000.0,35.0,2,do zamieszkania,0,miejskie,medium,1,1,0
 Podgórze,992216.0,57.62,4 ,do wykończenia,1,miejskie,medium,1,0,0
 Krowodrza,490000.0,49.35,2 ,do zamieszkania,-1,kotłownia,medium,1,0,0
 Stare Miasto,1300000.0,60.0,3 ,do wykończenia,4,elektryczne,medium,1,0,0
 Krowodrza,1120000.0,51.0,2 ,do zamieszkania,4,miejskie,medium,1,0,0
 Prądnik Biały,1438000.0,121.05,5 ,do wykończenia,1,miejskie,huge,0,0,1
 Podgórze,870000.0,49.48,2 ,do zamieszkania,1,miejskie,medium,1,0,0
 Krowodrza,1391000.0,69.6,3 ,do zamieszkania,3,gazowe,large,1,0,0
 Podgórze,891246.0,51.01,3 ,do wykończenia,3,miejskie,medium,1,0,0
 Podgórze Duchackie,895000.0,69.0,3 ,do zamieszkania,3,miejskie,large,1,0,0
 Mistrzejowice,799000.0,57.0,4 ,do zamieszkania,2,miejskie,medium,1,0,0
 Prądnik Biały,648450.0,39.3,2 ,do zamieszkania,2,miejskie,medium,1,0,0
 Czyżyny,539000.0,31.0,2,do zamieszkania,1,miejskie,medium,1,0,0
 Czyżyny,995000.0,55.66,3 ,do zamieszkania,7,miejskie,medium,1,0,0
 Prądnik Biały,1059219.0,70.38,4 ,do wykończenia,4,miejskie,large,1,0,0
 Mistrzejowice,960000.0,79.0,4 ,do zamieszkania,4,miejskie,large,1,0,0
 Krowodrza,1015920.0,56.44,2 ,do wykończenia,0,miejskie,medium,0,1,0
 Podgórze,699000.0,42.0,2 ,do zamieszkania,3,gazowe,medium,1,0,0
 Podgórze Duchackie,999000.0,57.46,3 ,do wykończenia,0,miejskie,medium,0,1,0
 Bieżanów-Prokocim,649000.0,51.2,3 ,do wykończenia,3,miejskie,medium,1,0,0
 Prądnik Biały,686556.0,42.12,2 ,do wykończenia,1,miejskie,medium,1,0,0
 Krowodrza,1699000.0,147.84,5 ,do wykończenia,1,miejskie,huge,1,0,0
 Prądnik Biały,1165000.0,54.13,3 ,do wykończenia,0,miejskie,medium,0,1,0
 Bieńczyce,656000.0,44.0,2 ,do zamieszkania,1,miejskie,medium,1,0,0
 Podgórze,570000.0,38.7,2 ,do zamieszkania,7,miejskie,medium,1,0,0
 Nowa Huta,630000.0,52.0,2 ,do remontu,0,miejskie,medium,1,0,0
 Podgórze,919800.0,63.0,3 ,do wykończenia,4,miejskie,large,1,0,0
 Stare Miasto,995000.0,33.83,2,do zamieszkania,0,miejskie,medium,1,0,0
 Zielonki,1410000.0,125.51,4,do zamieszkania,0,gazowe,huge,0,1,0
 Bronowice,666999.0,42.0,2 ,do wykończenia,1,miejskie,medium,1,0,0
 Prądnik Biały,790000.0,49.0,3 ,do zamieszkania,4,miejskie,medium,1,0,0
 Bieżanów-Prokocim,917856.0,63.74,3 ,do wykończenia,4,miejskie,large,1,0,0
 Prądnik Biały,1478540.0,105.61,5 ,do wykończenia,2,miejskie,huge,1,0,0
 Krowodrza,1290000.0,64.0,3 ,do zamieszkania,1,gazowe,large,1,0,0
 Stare Miasto,1950000.0,150.0,4,do wykończenia,4,gazowe,huge,1,0,0
 Bieżanów-Prokocim,617000.0,46.0,3 ,do zamieszkania,8,miejskie,medium,1,0,0
 Stare Miasto,1506582.0,55.82,3 ,do wykończenia,2,miejskie,medium,1,0,0
 Prądnik Biały,909000.0,55.4,2 ,do zamieszkania,4,miejskie,medium,1,0,0
 ul. Radzikowskiego,549000.0,27.7,2 ,do zamieszkania,0,elektryczne,small,0,0,0
 Grzegórzki,790000.0,41.0,2 ,do zamieszkania,2,gazowe,medium,1,0,0
 Grzegórzki,659000.0,29.0,1,do zamieszkania,6,miejskie,small,1,0,0
 Swoszowice,875000.0,67.0,3 ,do zamieszkania,1,miejskie,large,1,0,0
 Podgórze Duchackie,1299000.0,121.76,4,do wykończenia,1,miejskie,huge,0,1,1
 Zwierzyniec,2292000.0,135.21,4 ,do wykończenia,0,inne,huge,0,1,1
 Prądnik Biały,866332.0,59.46,3 ,do wykończenia,1,miejskie,medium,1,0,0
 Nowa Huta,630000.0,46.74,2 ,do zamieszkania,1,miejskie,medium,1,0,0
 Bieżanów-Prokocim,649000.0,50.0,3 ,do zamieszkania,9,miejskie,medium,1,0,0
 Swoszowice,790000.0,81.5,4 ,do zamieszkania,1,gazowe,large,1,0,0
 Prądnik Biały,869000.0,74.17,3 ,do zamieszkania,2,gazowe,large,1,0,0
 Bronowice,585000.0,35.71,2 ,do zamieszkania,1,miejskie,medium,1,0,0
 Bronowice,769000.0,48.68,3 ,do zamieszkania,8,miejskie,medium,1,0,0
 Podgórze,945000.0,63.79,3 ,do zamieszkania,2,elektryczne,large,1,0,0
 Podgórze,860000.0,48.91,2 ,do zamieszkania,3,miejskie,medium,1,0,0
 Prądnik Biały,963528.0,63.39,3 ,do wykończenia,1,miejskie,large,1,0,0
 Bronowice,1096000.0,75.62,3 ,do zamieszkania,8,kotłownia,large,1,0,0
 Grzegórzki,890000.0,56.19,3 ,do zamieszkania,0,miejskie,medium,1,0,0
 Bronowice,435000.0,23.0,1,do zamieszkania,1,elektryczne,small,1,0,0
 Prądnik Biały,619000.0,43.02,2 ,do remontu,0,miejskie,medium,1,0,0
 Bieżanów-Prokocim,749000.0,48.24,3 ,do zamieszkania,0,miejskie,medium,1,0,0
 Krowodrza,1314000.0,60.0,3 ,do zamieszkania,3,miejskie,medium,1,0,0
 Prądnik Biały,1478540.0,105.61,5 ,do wykończenia,2,miejskie,huge,1,0,0
 Podgórze Duchackie,849000.0,66.3,3 ,do zamieszkania,2,miejskie,large,1,0,0
 Podgórze Duchackie,475000.0,34.0,2,do zamieszkania,3,miejskie,medium,1,0,0
 Podgórze,1085000.0,73.36,3 ,do zamieszkania,5,miejskie,large,1,0,1
 Podgórze Duchackie,755000.0,49.6,3 ,do zamieszkania,0,gazowe,medium,0,1,1
 Prądnik Czerwony,899000.0,70.0,3 ,do zamieszkania,0,miejskie,large,1,0,0
 Nowa Huta,734000.0,56.53,2 ,do zamieszkania,1,miejskie,medium,1,0,0
 Prądnik Biały,1190000.0,73.44,4 ,do zamieszkania,0,miejskie,large,0,1,1
 Podgórze,945000.0,63.79,3 ,do zamieszkania,2,elektryczne,large,1,0,0
 Prądnik Biały,618852.0,39.67,2 ,do wykończenia,1,miejskie,medium,1,0,0
 Podgórze,490700.0,28.04,1,do wykończenia,1,miejskie,small,1,0,0
 Grzegórzki,1189520.0,46.58,2 ,do zamieszkania,0,miejskie,medium,0,1,1
 Dębniki,677000.0,41.0,2 ,do zamieszkania,1,miejskie,medium,1,0,0
 Krowodrza,1842588.0,101.52,4 ,do wykończenia,1,miejskie,huge,1,0,0
 Podgórze,994760.0,76.52,4 ,do wykończenia,0,miejskie,large,0,1,0
 Czyżyny,800639.0,50.04,3 ,do wykończenia,1,miejskie,medium,1,0,0
 Stare Miasto,1519000.0,70.6,3 ,do zamieszkania,3,gazowe,large,1,1,0
